번호,label,text,category
1,spam,"""축하드립니다! 최신 아이폰15 무료 당첨, 지금 링크를 클릭하세요!""",광고성스팸
2,ham,다음 주 월요일에 팀 회의가 있습니다. 시간 조율 부탁드립니다.,
3,spam,급하게 결제 정보를 확인하세요. 계정 정지가 예정되어 있습니다.,피싱스팸
4,ham,어제 요청하신 자료를 메일로 첨부했습니다. 확인 부탁드려요.,
5,spam,당신의 계좌에 이상 거래가 감지되었습니다. 바로 로그인하세요.,피싱스팸
6,ham,3분기 보고서 초안 공유드립니다. 피드백 부탁드립니다.,
7,spam,최저가 해외여행 찬스! 지금 바로 예약하세요!,광고성스팸
8,ham,학교 공지사항: 이번 주 금요일까지 강의 평가를 완료해주세요.,
9,spam,"50% 할인! 오늘 하루만, 쇼핑몰 세일 이벤트",광고성스팸
10,ham,회의록 정리본 전달드립니다. 다음 회의 일정은 추후 공지하겠습니다.,
11,spam,국세청 환급금 조회하세요. 클릭 후 정보 입력 필수,피싱스팸
12,ham,동아리 활동 관련 설문조사를 부탁드립니다.,
13,spam,신용카드 한도 증액 혜택! 지금 신청하세요!,광고성스팸
14,ham,이번 주 조별과제 관련 일정 다시 공유드립니다.,
15,spam,비트코인 급등! 투자 기회를 놓치지 마세요!,광고성스팸
16,ham,채용 공고 안내드립니다. 관심 있는 분들은 지원 바랍니다.,
17,spam,구글 계정 로그인 시도 알림: 비정상 접근 탐지됨,피싱스팸
18,ham,회식 일정 변경되었습니다. 금요일 오후 7시로 조정합니다.,
19,spam,대출 승인 완료! 간편 신청으로 바로 입금받으세요!,광고성스팸
20,ham,다음 주 교육 일정표를 공유드립니다. 필참 부탁드립니다.,
21,spam,"저금리 전환 대출 상품, 신청 서두르세요!",광고성스팸
22,ham,기말고사 일정 및 좌석 배치표를 첨부드립니다.,
23,spam,"VIP 고객 한정, 무료 영화관람 이벤트 참여하세요!",광고성스팸
24,ham,교수님께서 과제 제출 마감일을 연장해주셨습니다.,
25,spam,당신의 컴퓨터가 바이러스에 감염되었습니다! 즉시 치료하세요.,광고성스팸
26,ham,동아리 회식 장소 확정되었습니다. 공지 참고 바랍니다.,
27,spam,인스타그램 계정 인증 실패: 다시 로그인 필요,피싱스팸
28,ham,연구 프로젝트 관련 추가 자료를 전달드립니다.,
29,spam,무료 건강검진 쿠폰 발급 완료! 바로 확인하세요.,광고성스팸
30,ham,팀 프로젝트 최종 발표 일정 조율 요청드립니다.,
31,spam,한정판 운동화 사전 예약 중! 지금 바로 신청하세요.,광고성스팸
32,ham,프로젝트 회의록 초안을 검토해주시기 바랍니다.,
33,spam,주식 급등 정보 무료 제공! 가입만 하세요.,광고성스팸
34,ham,학사 일정 변경 공지드립니다. 참고 바랍니다.,
35,spam,특가 항공권 판매중! 오늘만 특별 할인!,광고성스팸
36,ham,학회 참가 신청 마감일이 다가왔습니다.,
37,spam,경품 이벤트 마지막 기회! 추첨에 참여하세요.,광고성스팸
38,ham,중간고사 범위 공지드립니다. 확인 부탁드립니다.,
39,spam,무료 카지노 크레딧 지급 중! 가입하세요!,광고성스팸
40,ham,다음 주 연구실 워크숍 일정 공유드립니다.,
41,spam,비트코인 대박 기회! 바로 투자하세요!,광고성스팸
42,ham,출장비 정산 관련 서류 제출 부탁드립니다.,
43,spam,게임 아이템 무료 충전 이벤트 중!,광고성스팸
44,ham,졸업논문 제출 일정 안내드립니다.,
45,spam,대출 한도 최대 상향! 특별 승인 기회!,광고성스팸
46,ham,건강검진 일정이 확정되었습니다.,
47,spam,온라인 쇼핑몰 특별쿠폰 발급 완료!,광고성스팸
48,ham,자격증 시험 접수 마감일 안내드립니다.,
49,spam,100만원 상당 경품 추첨 이벤트 참여하기!,광고성스팸
50,ham,금주 회의는 수요일로 조정되었습니다.,
51,spam,귀하의 최근 거래에 대한 청구서가 첨부되었습니다. 확인 후 결제 바랍니다.,허위청구서스팸
52,ham,회의 일정이 내일 오전 10시로 변경되었습니다.,
53,spam,최근 구매 내역에 대한 청구서가 발행되었습니다. 즉시 결제해주세요.,허위청구서스팸
54,ham,다음 회의는 오후 3시에 시작됩니다. 시간을 확인해 주세요.,
55,spam,귀하의 계정에서 결제되지 않은 항목이 있습니다. 지금 바로 결제하십시오.,허위청구서스팸
56,ham,내일 오전 9시에 중요한 회의가 있습니다. 참석 부탁드립니다.,
57,spam,지불 기한이 다가오고 있습니다. 첨부된 청구서를 확인 후 결제하십시오.,허위청구서스팸
58,ham,회의가 30분 연기되었습니다. 새 시간은 오후 1시입니다.,
59,spam,귀하의 서비스 요금이 미납되었습니다. 빠르게 결제해 주세요.,허위청구서스팸
60,ham,오늘 회의 일정에 변동이 생겼습니다. 오후 4시로 변경되었습니다.,
61,spam,최근 거래에 대한 미결제 청구서입니다. 확인 후 결제 부탁드립니다.,허위청구서스팸
62,ham,회사의 새로운 회의 일정에 따라 오늘 회의는 취소되었습니다.,
63,spam,결제되지 않은 청구서가 있습니다. 첨부된 내용을 확인 후 결제해 주세요.,허위청구서스팸
64,ham,이번 주 회의는 금요일 오후 1시로 조정되었습니다.,
65,spam,귀하의 계좌에 미지급된 요금이 있습니다. 결제를 진행해주세요.,허위청구서스팸
66,ham,다음 회의는 15분 후에 시작됩니다. 늦지 않도록 준비해 주세요.,
67,spam,청구서를 확인하고 빠르게 결제하십시오. 미납 시 서비스가 중지될 수 있습니다.,허위청구서스팸
68,ham,이번 주 금요일까지 보고서 제출 부탁드립니다.,
69,spam,긴급! 귀하의 계좌에 의심스러운 거래가 발생했습니다. 확인하려면 이 번호로 전화 주세요.,스미싱
70,ham,다음 주 월요일까지 보고서를 제출해 주시기 바랍니다.,
71,spam,당신의 계좌가 잠금 처리되었습니다. 즉시 확인하려면 전화하세요.,스미싱
72,ham,보고서 제출 기한은 이번 주 금요일까지입니다. 확인 후 제출해 주세요.,
73,spam,새로운 보상 혜택을 확인하려면 아래 전화번호로 연락 주세요.,스미싱
74,ham,오늘 중으로 보고서를 제출해 주시면 감사하겠습니다.,
75,spam,당신의 계좌가 정지되었습니다. 복구하려면 전화로 확인하세요.,스미싱
76,ham,보고서 제출 기한이 임박했습니다. 늦지 않게 제출 부탁드립니다.,
77,spam,계좌 인증을 위한 전화 확인이 필요합니다. 지금 전화 주세요.,스미싱
78,ham,연구 보고서를 이번 주 금요일까지 제출해 주세요.,
79,spam,긴급! 보상금을 수령하려면 이 번호로 전화 주세요.,스미싱
80,ham,보고서 제출 마감일이 다가오고 있습니다. 확인 후 제출 바랍니다.,
81,spam,귀하의 신용카드가 정지되었습니다. 즉시 전화로 확인해 주세요.,스미싱
82,ham,다음 주 월요일까지는 보고서를 제출해야 하니 준비해 주세요.,
83,spam,귀하의 계좌가 차단되었습니다. 복구하려면 전화로 확인해 주세요.,스미싱
84,ham,이번 주 내로 보고서를 제출해 주세요. 기한을 지켜주셔야 합니다.,
85,spam,정기 결제 확인을 위해 전화로 답변을 요청드립니다.,스미싱
86,ham,제출해야 할 보고서가 있습니다. 빠르게 작업을 완료해 주세요.,
87,spam,긴급: 계좌 이체 승인 요청. 확인 후 즉시 처리해 주세요.,스미싱
88,ham,오늘 점심에 같이 식사하실 분 있으신가요?,
89,spam,회사 자금을 긴급히 이체해야 합니다. 해당 금액을 송금 부탁드립니다.,BEC
90,ham,이번 주 점심은 회사 근처 레스토랑에서 함께 먹을 예정입니다. 함께 하실 분은 말씀해 주세요.,
91,spam,비즈니스 거래를 위한 중요한 결제 요청입니다. 확인 후 송금하십시오.,BEC
92,ham,오늘 점심 약속이 있으신가요? 함께 가실 분을 찾습니다.,
93,spam,이메일을 통해 승인된 송금 요청이 있습니다. 빠르게 처리 바랍니다.,BEC
94,ham,이번 주 금요일 점심시간에 동료들과 함께 외식할 예정입니다. 참여하실 분은 알려 주세요.,
95,spam,긴급하게 비즈니스 계좌로 자금을 이체해야 합니다.,BEC
96,ham,내일 점심에 회사 근처 맛집에 가려고 하는데 같이 가실 분 있나요?,
97,spam,회사 명의로 송금 요청이 왔습니다. 즉시 확인해 주세요.,BEC
98,ham,점심시간에 함께 식사할 분 찾고 있습니다. 관심 있으신 분은 말씀해 주세요.,
99,spam,계좌 이체가 필요합니다. 확인 후 송금 바랍니다.,BEC
100,ham,오늘 점심에 외식 예정인데 함께 가실 분을 찾고 있습니다.,
101,spam,긴급 송금 요청이 있습니다. 이체 진행 부탁드립니다.,BEC
102,ham,내일 점심에 새로운 레스토랑을 가려고 합니다. 함께 가실 분은 알려 주세요.,
103,spam,긴급하게 비즈니스 거래를 위해 송금해야 합니다.,BEC
104,ham,이번 주 점심은 회사 근처에서 간단히 해결하려고 합니다. 동참하실 분은 말씀해 주세요.,
105,spam,송금 요청이 승인되었습니다. 즉시 확인 후 송금해 주세요,BEC
106,ham,회의록을 작성해 주셔서 감사합니다. 확인 후 피드백 드리겠습니다.,
107,spam,동료가 중요한 정보를 보냈습니다. 즉시 파일을 열어보세요.,BEC
108,ham,이번 프로젝트의 진행 상황을 알려주세요. 진행 중인 부분에 대해 공유 부탁드립니다.,
109,spam,이메일을 통해 요청한 자료를 첨부했습니다. 빠른 확인 바랍니다.,BEC
110,ham,이번 주까지 작업 마무리 부탁드립니다. 기한을 지켜 주세요.,
111,spam,회사 시스템에 새로운 정책이 적용되었습니다. 첨부된 파일을 확인하세요.,BEC
112,ham,중요한 자료를 준비해 주셔서 감사합니다. 확인 후 진행하도록 하겠습니다.,
113,spam,고객사와의 계약서가 첨부되어 있습니다. 검토 후 서명해주세요.,BEC
114,ham,작업을 완료한 후 보고해 주세요. 필요한 부분이 있으면 알려 드리겠습니다.,
115,spam,회사 이메일 계정에 문제가 생겼습니다. 즉시 확인 후 조치를 취하세요.,BEC
116,ham,내일 회의 전에 자료를 준비해 주세요. 준비가 완료되면 알려 주세요.,
117,spam,당신의 직무 관련 중요 업데이트입니다. 첨부된 파일을 열어보세요.,BEC
118,ham,이번 주 업무에 대해 정리해 주시면 감사하겠습니다.,
119,spam,귀하의 부서에서 중요 문서가 수신되었습니다. 바로 열어보세요.,BEC
120,ham,작업 내용에 대해 확인이 필요합니다. 다시 한번 검토해 주세요.,
121,spam,동료가 보낸 이메일을 확인하려면 이 링크를 클릭하세요.,스피어피싱
122,ham,오늘 회의 내용에 대한 요약본을 보내드리겠습니다. 확인 부탁드립니다.,
123,spam,귀사의 급한 요청을 위해 이 문서를 열어보세요.,스피어피싱
124,ham,최근 진행한 작업에 대한 피드백을 부탁드립니다.,
125,spam,"안녕하세요, 사용자님. 회사 계정 확인을 위해 링크를 클릭하세요.",스피어피싱
126,ham,새로운 프로젝트에 대해 논의하고자 합니다. 시간을 내주세요.,
127,spam,귀하의 파일을 암호화했습니다. 복구하려면 여기를 클릭하여 지불하세요.,랜섬웨어메일
128,ham,문서 작업이 완료되었습니다. 확인 후 피드백 부탁드립니다.,
129,spam,당신의 시스템이 잠겼습니다. 복구하려면 비트코인으로 지불해야 합니다.,랜섬웨어메일
130,ham,파일을 업데이트했습니다. 최신 버전을 확인해 주세요.,
131,spam,파일을 복구하려면 지불을 완료해 주세요. 24시간 내에 처리하지 않으면 영구 삭제됩니다.,랜섬웨어메일
132,ham,업데이트된 자료를 전달드립니다. 확인해 주세요.,
133,spam,당신의 데이터가 잠겨 있습니다. 복구를 위해 지불해주세요.,랜섬웨어메일
134,ham,업무 관련 궁금한 점이 있으시면 언제든지 연락 주세요.,
135,spam,암호화된 파일을 복구하려면 링크를 통해 지불해야 합니다.,랜섬웨어메일
136,ham,팀 회의 결과를 공유드립니다. 확인 후 의견 부탁드립니다.,
137,spam,암호화된 파일을 복구하려면 링크를 통해 지불해야 합니다.,랜섬웨어메일
138,ham,이번 프로젝트의 진행 상황을 공유해 주세요.,
139,spam,파일 복구를 위해 즉시 지불을 완료해야 합니다.,랜섬웨어메일
140,ham,파일을 공유드립니다. 확인 후 수정해 주세요.,
141,spam,시스템이 잠겼습니다. 복구를 원하시면 즉시 결제하십시오.,랜섬웨어메일
142,ham,프로젝트 업데이트 사항을 메일로 보내드리겠습니다.,
143,spam,파일을 복원하려면 여기를 클릭하여 암호 해제를 요청하세요.,랜섬웨어메일
144,ham,오늘 하루 잘 보내세요! 좋은 하루 되세요.,
145,spam,귀하의 컴퓨터가 감염되었습니다. 파일 복구를 원하시면 금액을 지불하세요.,랜섬웨어메일
146,ham,다음 주에 예정된 행사에 대해 확인 부탁드립니다,
147,spam,긴급! 첨부파일을 다운로드하여 최신 보안 업데이트를 설치하세요.,악성코드유포형스팸
148,ham,새로운 업무 지침을 안내드립니다. 확인 후 따라 주세요.,
149,spam,첨부된 PDF 파일을 열어 보세요. 중요한 문서입니다.,악성코드유포형스팸
150,ham,팀 프로젝트 관련 미팅이 진행될 예정입니다. 시간을 비워 두세요,
151,spam,당신의 컴퓨터가 바이러스에 감염되었습니다. 다운로드하여 바로 치료하세요.,악성코드유포형스팸
152,ham,저희 사무실에서 새로운 규정을 시행합니다. 자세한 내용은 확인해 주세요.,
153,spam,첨부파일을 확인하여 최신 프로그램을 설치하세요. 무료입니다.,악성코드유포형스팸
154,ham,다음 주 프로젝트 회의에 대한 정보를 전달드립니다.,
155,spam,이 파일을 다운로드하여 새로운 버전의 프로그램을 설치해 보세요.,악성코드유포형스팸
156,ham,이번 달 목표는 다음 주에 마무리될 예정입니다.,
157,spam,보안 오류 발생! 첨부된 파일을 열어 빠르게 수정하세요.,악성코드유포형스팸
158,ham,우리 팀에 새로운 구성원이 추가되었습니다. 환영해 주세요!,
159,spam,새로운 파일을 다운로드하고 컴퓨터를 보호하세요.,악성코드유포형스팸
160,ham,다음 주 월요일에 새로운 프로젝트가 시작됩니다. 준비해 주세요.,
161,spam,이메일을 통해 최신 보안 패치를 다운로드하세요.,악성코드유포형스팸
162,ham,회의에서 논의된 내용을 정리해 메일로 보내드립니다.,
163,spam,첨부된 문서를 열고 시스템을 최적화해 보세요.,악성코드유포형스팸
164,ham,금일 업무 보고서를 팀 공유 드라이브에 업로드하였습니다.,
165,spam,컴퓨터를 보호하려면 여기에서 파일을 다운로드하세요.,악성코드유포형스팸
166,ham,출근 시간에 맞춰 회의실을 예약해 두었습니다.,
167,spam,계좌 비밀번호를 다시 설정하세요. 보안상의 이유로 로그인 정보가 변경되었습니다.,피싱스팸
168,ham,다음 주 월요일 오전에 일정 가능하신가요?,
169,spam,위험한 보안 위협! 계좌를 보호하려면 여기를 클릭하세요.,피싱스팸
170,ham,담당자 변경에 따라 업무 인수인계를 진행 중입니다.,
171,spam,계정이 정지되었습니다. 본인 인증을 위해 이 링크를 따라가세요.,피싱스팸
172,ham,담당자분이 자리를 비우셨습니다.,
173,spam,당신의 은행 계좌에서 의심스러운 거래가 감지되었습니다. 즉시 확인하려면 여기를 클릭하세요.,피싱스팸
174,ham,문서 수정사항은 빨간색 글씨로 표시해 두었습니다.,
175,spam,긴급! 로그인 시도가 여러 번 있었습니다. 비밀번호를 변경해야 합니다.,피싱스팸
176,ham,고객 응대 가이드라인을 업데이트하였습니다.,
177,spam,귀하의 우편함에 새 메시지가 도착했습니다. 메시지를 확인하려면 여기를 클릭하세요.,피싱스팸
178,ham,사무실 정기 소독 일정이 내일 오전입니다.,
179,spam,귀하의 결제 정보가 유출되었습니다. 안전한 계정 복구를 위해 즉시 클릭하세요.,피싱스팸
180,ham,월간 회의에서 사용할 자료를 미리 공유드립니다.,
181,spam,즉시 계좌 확인이 필요합니다! 귀하의 세금 환급을 받으려면 로그인하세요.,피싱스팸
182,ham,사내 공지사항을 참고하시어 업무에 반영해 주세요.,
183,spam,계정에서 비정상적인 활동이 발생했습니다. 여기서 확인 후 조치를 취하세요.,피싱스팸
184,ham,출장 일정이 확정되었습니다. 참고 바랍니다.,
185,spam,당신의 Amazon 계정에 문제가 발생했습니다. 즉시 확인하세요.,피싱스팸
186,ham,사내 헬스장 이용시간이 변경되었습니다. 확인 바랍니다.,
187,spam,한정 세일! 50% 할인된 가격으로 최신 스마트폰을 구매하세요!,광고성스팸
188,ham,내일 외부 미팅이 예정되어 있어 부재 예정입니다.,
189,spam,명품 가방 대박 세일! 80% 할인 혜택!,광고성스팸
190,ham,금일 회의는 화상 회의로 변경되었습니다.,
191,spam,10만원 캐시백! 온라인 쇼핑몰에서 구매하고 현금으로 돌려받자!,광고성스팸
192,ham,결재 서류 학인 부탁드립니다.,
193,spam,미니 드론 무료 증정! 구매하고 즉시 선물 받으세요!,광고성스팸
194,ham,수정사항 확인 완료했습니다. 공유 드라이브에 업로드 부탁드립니다.,
195,spam,3일 동안만! 전자제품 50% 할인 이벤트!,광고성스팸
196,ham,표 안에 변경된 수치를 굵은 글씨로 표시했습니다.,
197,spam,"월간 구독 서비스, 첫 달 무료!",광고성스팸
198,ham,누락된 항목은 회색 음영으로 표시해 두었습니다.,
199,spam,여행 패키지 할인 70%! 예약은 서둘러야 합니다!,광고성스팸
200,ham,문서 내 날짜 정보가 최신으로 반영되었는지 확인해 주세요.,
